 3081, 4140,45535,
 3409, 4139,45528,
 3695, 4138,45517,
 3923, 4137,45504,
 4069, 4146,45602,
 4154, 4165,45817,
 4146, 4123,45348,
 4118, 4081,44891,
 4076, 4039,44429,
 4024, 3998,43974,
 3959, 3952,43477,
    0, 4157,49889,
    0, 4157,49889,
    0, 4157,49889,
  635, 4157,49888,
 1960, 4157,49884,
 2570, 4157,49880,
 2986, 4156,49875,
 3319, 4155,49865,
 3608, 4155,49859,
 3849, 4154,49847,
 3998, 4153,49836,
 4092, 4164,49969,
 4144, 4185,50218,
 4116, 4149,49794,
 4075, 4114,49364,
 4023, 4079,48946,
 3958, 4039,48470,
    0, 4147,53911,
    0, 4147,53911,
    0, 4147,53911,
  560, 4147,53910,
 1849, 4147,53907,
 2469, 4146,53902,
 2892, 4146,53898,
 3231, 4145,53890,
 3523, 4145,53884,
 3775, 4144,53876,
 3936, 4144,53867,
 4029, 4143,53857,
 4086, 4154,54001,
 4114, 4176,54291,
 4074, 4146,53895,
 4022, 4117,53515,
 3957, 4081,53055,
    0, 4118,57648,
    0, 4118,57648,
    0, 4118,57648,
  479, 4118,57648,
 1734, 4117,57644,
 2369, 4117,57643,
 2800, 4117,57637,
 3143, 4117,57633,
 3441, 4116,57627,
 3701, 4116,57619,
 3875, 4115,57612,
 3978, 4115,57604,
 4031, 4114,57594,
 4060, 4124,57734,
 4072, 4148,58068,
 4021, 4122,57706,
 3956, 4090,57264,
    0, 4075,61128,
    0, 4075,61128,
    0, 4075,61128,
  391, 4075,61127,
 1618, 4075,61125,
 2269, 4075,61122,
 2708, 4075,61118,
 3058, 4074,61115,
 3358, 4074,61109,
 3627, 4074,61104,
 3812, 4073,61098,
 3925, 4073,61090,
 3987, 4072,61081,
 4012, 4072,61073,
 4020, 4079,61185,
 4019, 4105,61582,
 3955, 4078,61163,
    0, 4023,64360,
    0, 4023,64360,
    0, 4023,64360,
  291, 4022,64359,
 1499, 4022,64357,
 2166, 4022,64356,
 2616, 4022,64353,
 2970, 4022,64349,
 3277, 4022,64345,
 3551, 4021,64340,
 3750, 4021,64336,
 3873, 4021,64329,
 3943, 4020,64322,
 3974, 4020,64313,
 3979, 4019,64305,
 3968, 4023,64369,
 3954, 4046,64743,
    0, 3957, 3957,
    0, 3957, 1725,
    0, 3957, 1725,
  189, 3956, 1724,
 1388, 3956, 1722,
 2073, 3956, 1721,
 2530, 3956, 1718,
 2889, 3956, 1714,
 3196, 3956, 1712,
 3474, 3956, 1708,
 3684, 3955, 3955,
 3816, 3955, 3955,
 3893, 3955, 3955,
 3930, 3954, 3954,
 3941, 3954, 3954,
 3929, 3953, 3953,
 3902, 3953, 3953,
