 3090, 4492,26952,
 3114, 4631,27784,
 3127, 4769,28615,
 3129, 4908,29448,
 3124, 5047,30280,
 6421, 3412, 1405,
 4177, 3474, 1430,
 3529, 3526, 1452,
 3250, 3575, 1472,
 3082, 3637, 1498,
 2994, 3704,25928,
 2960, 3772,26401,
 2955, 3838,26869,
 2966, 3906,27340,
 3014, 4017,28121,
 3064, 4140,28980,
 3107, 4261,29828,
 3140, 4382,30676,
 3163, 4503,31519,
 3174, 4623,32362,
 3176, 4744,33207,
 3169, 4866,34060,
 7771, 3524, 1658,
 4775, 3574,28596,
 3895, 3620,28956,
 3514, 3661,29288,
 3294, 3711,29688,
 3165, 3769,30152,
 3106, 3828,30622,
 3084, 3886,31090,
 3083, 3946,31568,
 3092, 4007,32053,
 3126, 4098,32781,
 3167, 4206,33651,
 3200, 4315,34521,
 3221, 4423,35388,
 3231, 4531,36249,
 3229, 4638,37106,
 3220, 4746,37967,
 9093, 3607, 1909,
 5380, 3651,32856,
 4270, 3691,33217,
 3785, 3728,33549,
 3514, 3769,33925,
 3346, 3821,34386,
 3261, 3873,34857,
 3222, 3925,35329,
 3210, 3979,35814,
 3211, 4034,36310,
 3219, 4092,36830,
 3241, 4170,37533,
 3271, 4270,38429,
 3289, 4368,39311,
 3294, 4465,40182,
 3288, 4560,41037,
 3276, 4654,41889,
10401, 3666,36657,
 5995, 3705,37051,
 4657, 3741,37411,
 4067, 3775,37751,
 3745, 3811,38113,
 3538, 3857,38575,
 3428, 3904,39043,
 3373, 3953,39529,
 3350, 4002,40024,
 3343, 4053,40533,
 3343, 4106,41062,
 3343, 4160,41602,
 3351, 4230,42304,
 3363, 4319,43190,
 3362, 4405,44053,
 3352, 4489,44893,
 3335, 4572,45722,
11702, 3705,40755,
 6618, 3740,41144,
 5058, 3773,41507,
 4364, 3805,41854,
 3988, 3838,42219,
 3746, 3880,42676,
 3612, 3923,43150,
 3541, 3967,43642,
 3504, 4013,44144,
 3486, 4060,44658,
 3475, 4107,45182,
 3465, 4155,45709,
 3451, 4204,46244,
 3442, 4266,46929,
 3435, 4343,47768,
 3419, 4416,48580,
 3397, 4488,49369,
12982, 3726,44709,
 7247, 3758,45094,
 5473, 3788,45460,
 4677, 3818,45812,
 4248, 3849,46185,
 3973, 3887,46641,
 3813, 3926,47116,
 3722, 3967,47606,
 3669, 4008,48100,
 3637, 4050,48600,
 3613, 4092,49101,
 3592, 4134,49606,
 3567, 4175,50105,
 3536, 4218,50612,
 3511, 4272,51268,
 3488, 4337,52039,
 3460, 4399,52783,
14251, 3729,48478,
 7884, 3758,48858,
 5904, 3787,49229,
 5009, 3815,49589,
 4527, 3844,49969,
 4214, 3879,50421,
 4026, 3914,50888,
 3913, 3951,51362,
 3842, 3988,51839,
 3794, 4024,52317,
 3756, 4061,52793,
 3721, 4098,53270,
 3684, 4133,53735,
 3641, 4169,54196,
 3595, 4204,54656,
 3559, 4253,55286,
 3526, 4307,55991,
15510, 3718,52053,
 8532, 3745,52433,
 6351, 3772,52814,
 5358, 3799,53185,
 4819, 3826,53569,
 4467, 3858,54010,
 4249, 3890,54463,
 4111, 3923,54918,
 4021, 3955,55376,
 3955, 3988,55829,
 3902, 4020,56277,
